Archive:  /home/runner/work/mltd-relive/mltd-relive/input/mltd-relive-game-client-zh-fixed.apk
 Length   Method    Size  Cmpr    Date    Time   CRC-32   Name
     246  Stored      246   0% 2024-01-15 19:16 f4730ee1  res/drawable-xhdpi/notification_bg_normal_pressed.9.png
      99  Stored       99   0% 2024-01-15 19:16 63396df1  res/drawable-xhdpi/notify_panel_notification_icon_bg.png
    1339  Stored     1339   0% 2024-01-15 19:16 f58dd445  res/drawable-xxhdpi/common_google_signin_btn_icon_dark_normal_background.9.png
    1309  Stored     1309   0% 2024-01-15 19:16 24385b04  res/drawable-xxhdpi/common_google_signin_btn_icon_light_normal_background.9.png
    1450  Stored     1450   0% 2024-01-15 19:16 951fef6b  res/drawable-xxhdpi/common_google_signin_btn_text_dark_normal_background.9.png
    1400  Stored     1400   0% 2024-01-15 19:16 cfee300c  res/drawable-xxhdpi/common_google_signin_btn_text_light_normal_background.9.png
    1068  Stored     1068   0% 2024-01-15 19:16 b959ca1f  res/drawable-xxhdpi/googleg_disabled_color_18.png
    1894  Stored     1894   0% 2024-01-15 19:16 2e829a27  res/drawable-xxhdpi/googleg_standard_color_18.png
    2790  Stored     2790   0% 2024-01-15 19:16 2312319d  res/drawable-xxhdpi/icon_notification.png
    3307  Stored     3307   0% 2024-01-15 19:16 c8fc17f3  res/drawable-xxxhdpi/icon_notification.png
  114103  Stored   114103   0% 2024-01-15 19:16 2de44e96  res/drawable-xxxhdpi/icon_notification_l.png
    1164  Defl:N      525  55% 2024-01-15 19:16 70471782  res/layout/notification_action.xml
    1336  Defl:N      580  57% 2024-01-15 19:16 040a2afc  res/layout/notification_action_tombstone.xml
     572  Defl:N      306  47% 2024-01-15 19:16 0685358d  res/layout/notification_media_action.xml
     752  Defl:N      373  50% 2024-01-15 19:16 6e5a72b1  res/layout/notification_media_cancel_action.xml
    1704  Defl:N      639  63% 2024-01-15 19:16 5a4aaab6  res/layout/notification_template_big_media.xml
    3048  Defl:N      988  68% 2024-01-15 19:16 92856c1b  res/layout/notification_template_big_media_custom.xml
    1832  Defl:N      667  64% 2024-01-15 19:16 ac07fb56  res/layout/notification_template_big_media_narrow.xml
